slug,scientific_name,common_name,genus,family
galium-saxatile,Galium saxatile,Heath bedstraw,Galium,Rubiaceae
galium-uliginosum,Galium uliginosum,Fen bedstraw,Galium,Rubiaceae
galium-verum,Galium verum,Yellow bedstraw,Galium,Rubiaceae
gardenia-jasminoides,Gardenia jasminoides,Cape jasmine,Gardenia,Rubiaceae
gaultheria-procumbens,Gaultheria procumbens,Checkerberry,Gaultheria,Ericaceae
gelsemium-sempervirens,Gelsemium sempervirens,Carolina-jasmine,Gelsemium,Gelsemiaceae
gentiana-lutea,Gentiana lutea,Great yellow gentian,Gentiana,Gentianaceae
geranium-dissectum,Geranium dissectum,Cut-leaf crane's-bill,Geranium,Geraniaceae
geranium-maculatum,Geranium maculatum,Spotted geranium,Geranium,Geraniaceae
geranium-molle,Geranium molle,Wild geranium,Geranium,Geraniaceae
geranium-pyrenaicum,Geranium pyrenaicum,Hedgerow crane's-bill,Geranium,Geraniaceae
geranium-robertianum,Geranium robertianum,Mountain geranium,Geranium,Geraniaceae
geranium-sylvaticum,Geranium sylvaticum,Wood crane's-bill,Geranium,Geraniaceae
geum-rivale,Geum rivale,Water avens,Geum,Rosaceae
geum-urbanum,Geum urbanum,Bennet's-root,Geum,Rosaceae
ginkgo-biloba,Ginkgo biloba,Ginkgo,Ginkgo,Ginkgoaceae
glechoma-hederacea,Glechoma hederacea,Gill-over-the-ground,Glechoma,Lamiaceae
glyceria-fluitans,Glyceria fluitans,Water mannagrass,Glyceria,Poaceae
glyceria-maxima,Glyceria maxima,Reed sweet grass,Glyceria,Poaceae
glycine-max,Glycine max,Soya,Glycine,Fabaceae
glycyrrhiza-glabra,Glycyrrhiza glabra,Licorice,Glycyrrhiza,Fabaceae
gnaphalium-uliginosum,Gnaphalium uliginosum,Marsh cudweed,Gnaphalium,Asteraceae
gossypium-herbaceum,Gossypium herbaceum,Arabian cotton,Gossypium,Malvaceae
guaiacum-officinale,Guaiacum officinale,Guaiacum,Guaiacum,Zygophyllaceae
gymnadenia-conopsea,Gymnadenia conopsea,Fragrant orchid,Gymnadenia,Orchidaceae
gymnema-sylvestre,Gymnema sylvestre,,Gymnema,Apocynaceae
gymnocarpium-dryopteris,Gymnocarpium dryopteris,Common oak fern,Gymnocarpium,Aspleniaceae
hamamelis-virginiana,Hamamelis virginiana,Witch-hazel,Hamamelis,Hamamelidaceae
harpagophytum-procumbens,Harpagophytum procumbens,,Harpagophytum,Pedaliaceae
hedera-helix,Hedera helix,Ivy,Hedera,Araliaceae
helianthemum-nummularium,Helianthemum nummularium,Common rock-rose,Helianthemum,Cistaceae
helleborus-foetidus,Helleborus foetidus,Bear's-foot,Helleborus,Ranunculaceae
heracleum-mantegazzianum,Heracleum mantegazzianum,Cartwheel-flower,Heracleum,Apiaceae
heracleum-sphondylium,Heracleum sphondylium,Cow-parsnip,Heracleum,Apiaceae
herniaria-glabra,Herniaria glabra,Herniary breastwort,Herniaria,Caryophyllaceae
hibiscus-sabdariffa,Hibiscus sabdariffa,Indian-sorrel,Hibiscus,Malvaceae
hieracium-umbellatum,Hieracium umbellatum,Narrow-leaf hawkweed,Hieracium,Asteraceae
himantoglossum-hircinum,Himantoglossum hircinum,Lizard orchid,Himantoglossum,Orchidaceae
hippocrepis-comosa,Hippocrepis comosa,Horseshoe-vetch,Hippocrepis,Fabaceae
hippophae-rhamnoides,Hippophae rhamnoides,,Hippophae,Elaeagnaceae
holcus-lanatus,Holcus lanatus,Yorkshire-fog,Holcus,Poaceae
holcus-mollis,Holcus mollis,German velvet grass,Holcus,Poaceae
hoodia-gordonii,Hoodia gordonii,Ghaap,Hoodia,Apocynaceae
hordeum-murinum,Hordeum murinum,False barley,Hordeum,Poaceae
hordeum-vulgare,Hordeum vulgare,Barley,Hordeum,Poaceae
humulus-lupulus,Humulus lupulus,Bine,Humulus,Cannabaceae
hyacinthoides-non-scripta,Hyacinthoides non-scripta,Wood-hyacinth,Hyacinthoides,Asparagaceae
hydrangea-arborescens,Hydrangea arborescens,Sevenbark,Hydrangea,Hydrangeaceae
hydrastis-canadensis,Hydrastis canadensis,Goldenseal,Hydrastis,Ranunculaceae
hydrocotyle-vulgaris,Hydrocotyle vulgaris,Marsh pennywort,Hydrocotyle,Araliaceae
hyoscyamus-niger,Hyoscyamus niger,Common henbane,Hyoscyamus,Solanaceae
hypericum-maculatum,Hypericum maculatum,Spotted st. john's-wort,Hypericum,Hypericaceae
hypericum-perforatum,Hypericum perforatum,Klamathweed,Hypericum,Hypericaceae
hypnum-cupressiforme,Hypnum cupressiforme,,Hypnum,Hypnaceae
hyssopus-officinalis,Hyssopus officinalis,Hyssop,Hyssopus,Lamiaceae
ilex-aquifolium,Ilex aquifolium,English holly,Ilex,Aquifoliaceae
ilex-paraguariensis,Ilex paraguariensis,Brazilian-tea,Ilex,Aquifoliaceae
illicium-verum,Illicium verum,Chinese star-anise,Illicium,Schisandraceae
impatiens-glandulifera,Impatiens glandulifera,Policeman's-helmet,Impatiens,Balsaminaceae
impatiens-parviflora,Impatiens parviflora,Balsam,Impatiens,Balsaminaceae
inula-helenium,Inula helenium,Elecampane,Inula,Asteraceae
ipomoea-purga,Ipomoea purga,,Ipomoea,Convolvulaceae
iris-pseudacorus,Iris pseudacorus,Flag iris,Iris,Iridaceae
iris-versicolor,Iris versicolor,Blue flag,Iris,Iridaceae
jacobaea-vulgaris,Jacobaea vulgaris,Jacobaea,Jacobaea,Asteraceae
jasione-montana,Jasione montana,Sheepbit,Jasione,Campanulaceae
jasminum-grandiflorum,Jasminum grandiflorum,Catalonian jasmine,Jasminum,Oleaceae
jateorhiza-palmata,Jateorhiza palmata,,Jateorhiza,Menispermaceae
juglans-cinerea,Juglans cinerea,White walnut,Juglans,Juglandaceae
juglans-regia,Juglans regia,Carpathian walnut,Juglans,Juglandaceae
juncus-acutiflorus,Juncus acutiflorus,Sharpflower rush,Juncus,Juncaceae
juncus-articulatus,Juncus articulatus,Joint-leaf rush,Juncus,Juncaceae
juncus-bufonius,Juncus bufonius,Toad rush,Juncus,Juncaceae
juncus-bulbosus,Juncus bulbosus,Bulbous rush,Juncus,Juncaceae
juncus-conglomeratus,Juncus conglomeratus,Compact rush,Juncus,Juncaceae
juncus-effusus,Juncus effusus,Soft rush,Juncus,Juncaceae
juncus-inflexus,Juncus inflexus,Hard rush,Juncus,Juncaceae
juncus-tenuis,Juncus tenuis,Path rush,Juncus,Juncaceae
juniperus-communis,Juniperus communis,Common juniper,Juniperus,Cupressaceae
juniperus-oxycedrus,Juniperus oxycedrus,Cade juniper,Juniperus,Cupressaceae
kindbergia-praelonga,Kindbergia praelonga,,Kindbergia,Brachytheciaceae
knautia-arvensis,Knautia arvensis,Field-scabious,Knautia,Caprifoliaceae
lactuca-serriola,Lactuca serriola,Milk thistle,Lactuca,Asteraceae
lactuca-virosa,Lactuca virosa,Bitter lettuce,Lactuca,Asteraceae
lamium-album,Lamium album,White dead-nettle,Lamium,Lamiaceae
lamium-amplexicaule,Lamium amplexicaule,Henbit,Lamium,Lamiaceae
lamium-galeobdolon,Lamium galeobdolon,Yellow archangel,Lamium,Lamiaceae
lamium-maculatum,Lamium maculatum,Spotted henbit,Lamium,Lamiaceae
lamium-purpureum,Lamium purpureum,Purple dead-nettle,Lamium,Lamiaceae
lapsana-communis,Lapsana communis,Hawk's-beard,Lapsana,Asteraceae
larix-decidua,Larix decidua,European larch,Larix,Pinaceae
larrea-tridentata,Larrea tridentata,Creosote bush,Larrea,Zygophyllaceae
lathyrus-linifolius,Lathyrus linifolius,Bitter-vetch,Lathyrus,Fabaceae
lathyrus-pratensis,Lathyrus pratensis,Meadow vetchling,Lathyrus,Fabaceae
laurus-nobilis,Laurus nobilis,Sweet bay,Laurus,Lauraceae
lavandula-angustifolia,Lavandula angustifolia,Lavender,Lavandula,Lamiaceae
lavandula-pedunculata,Lavandula pedunculata,,Lavandula,Lamiaceae
lavandula-stoechas,Lavandula stoechas,Topped lavender,Lavandula,Lamiaceae
lawsonia-inermis,Lawsonia inermis,Egyptian-privet,Lawsonia,Lythraceae
lemna-minor,Lemna minor,Duckweed,Lemna,Araceae
leontodon-hispidus,Leontodon hispidus,Rough hawkbit,Leontodon,Asteraceae
leonurus-cardiaca,Leonurus cardiaca,Motherwort,Leonurus,Lamiaceae
lepidium-virginicum,Lepidium virginicum,Least pepperwort,Lepidium,Brassicaceae
leucanthemum-vulgare,Leucanthemum vulgare,Oxeye daisy,Leucanthemum,Asteraceae
levisticum-officinale,Levisticum officinale,Garden lovage,Levisticum,Apiaceae
ligustrum-vulgare,Ligustrum vulgare,Common privet,Ligustrum,Oleaceae
linaria-vulgaris,Linaria vulgaris,Toadflax,Linaria,Plantaginaceae
linum-catharticum,Linum catharticum,Bitter flax,Linum,Linaceae
linum-usitatissimum,Linum usitatissimum,Linseed,Linum,Linaceae
lippia-alba,Lippia alba,Bushy lippia,Lippia,Verbenaceae
liquidambar-orientalis,Liquidambar orientalis,Oriental sweet-gum,Liquidambar,Altingiaceae
lobelia-inflata,Lobelia inflata,Indian-tobacco,Lobelia,Campanulaceae
lolium-arundinaceum,Lolium arundinaceum,,Lolium,Poaceae
lolium-perenne,Lolium perenne,Perennial ryegrass,Lolium,Poaceae
lolium-pratense,Lolium pratense,,Lolium,Poaceae
lomatium-dissectum,Lomatium dissectum,,Lomatium,Apiaceae
lonicera-periclymenum,Lonicera periclymenum,Woodbine,Lonicera,Caprifoliaceae
lonicera-xylosteum,Lonicera xylosteum,European fly honeysuckle,Lonicera,Caprifoliaceae
lophophora-williamsii,Lophophora williamsii,Indian-dope,Lophophora,Cactaceae
lotus-corniculatus,Lotus corniculatus,Common bird's-foot trefoil,Lotus,Fabaceae
lotus-pedunculatus,Lotus pedunculatus,Greater bird's-foot trefoil,Lotus,Fabaceae
lupinus-polyphyllus,Lupinus polyphyllus,Washington lupin,Lupinus,Fabaceae
luzula-campestris,Luzula campestris,Field wood-rush,Luzula,Juncaceae
luzula-multiflora,Luzula multiflora,Heath wood-rush,Luzula,Juncaceae
luzula-pilosa,Luzula pilosa,Hairy woodrush,Luzula,Juncaceae
lycium-chinense,Lycium chinense,Chinese boxthorn,Lycium,Solanaceae
lycopodium-clavatum,Lycopodium clavatum,Ground-pine,Lycopodium,Lycopodiaceae
lycopus-europaeus,Lycopus europaeus,European bugleweed,Lycopus,Lamiaceae
lycopus-virginicus,Lycopus virginicus,Water horehound,Lycopus,Lamiaceae
lysimachia-arvensis,Lysimachia arvensis,,Lysimachia,Primulaceae
lysimachia-europaea,Lysimachia europaea,European starflower,Lysimachia,Primulaceae
lysimachia-nummularia,Lysimachia nummularia,Creeping-jenny,Lysimachia,Primulaceae
lysimachia-vulgaris,Lysimachia vulgaris,Loosestrife,Lysimachia,Primulaceae
lythrum-salicaria,Lythrum salicaria,Purple loosestrife,Lythrum,Lythraceae
madhuca-longifolia,Madhuca longifolia,Mahua,Madhuca,Sapotaceae
magnolia-officinalis,Magnolia officinalis,Magnolia-bark,Magnolia,Magnoliaceae
maianthemum-bifolium,Maianthemum bifolium,May-lily,Maianthemum,Asparagaceae
malus-domestica,Malus domestica,Apple,Malus,Rosaceae
malva-sylvestris,Malva sylvestris,Blue mallow,Malva,Malvaceae
mandragora-officinarum,Mandragora officinarum,Mandrake,Mandragora,Solanaceae
manihot-esculenta,Manihot esculenta,Cassava,Manihot,Euphorbiaceae
maranta-arundinacea,Maranta arundinacea,Arrowroot,Maranta,Marantaceae
marrubium-vulgare,Marrubium vulgare,Horehound,Marrubium,Lamiaceae
matricaria-chamomilla,Matricaria chamomilla,German chamomile,Matricaria,Asteraceae
matricaria-discoidea,Matricaria discoidea,Disc mayweed,Matricaria,Asteraceae
medicago-lupulina,Medicago lupulina,Nonesuch,Medicago,Fabaceae
medicago-sativa,Medicago sativa,Alfalfa,Medicago,Fabaceae
melaleuca-alternifolia,Melaleuca alternifolia,Narrow-leaf paperbark,Melaleuca,Myrtaceae
melampyrum-pratense,Melampyrum pratense,Common cow-wheat,Melampyrum,Orobanchaceae
melica-nutans,Melica nutans,Mountain melick,Melica,Poaceae
melica-uniflora,Melica uniflora,Wood melick,Melica,Poaceae
melilotus-albus,Melilotus albus,White sweet-clover,Melilotus,Fabaceae
melilotus-officinalis,Melilotus officinalis,Yellow sweetclover,Melilotus,Fabaceae
melissa-officinalis,Melissa officinalis,Balm,Melissa,Lamiaceae
mentha-aquatica,Mentha aquatica,Water mint,Mentha,Lamiaceae
mentha-arvensis,Mentha arvensis,European corn mint,Mentha,Lamiaceae
mentha-pulegium,Mentha pulegium,Pennyroyal,Mentha,Lamiaceae
mentha-x-piperita,Mentha × piperita,Peppermint,Mentha,Lamiaceae
menyanthes-trifoliata,Menyanthes trifoliata,Bog-bean,Menyanthes,Menyanthaceae
mercurialis-annua,Mercurialis annua,Annual mercury,Mercurialis,Euphorbiaceae
mercurialis-perennis,Mercurialis perennis,Dog mercury,Mercurialis,Euphorbiaceae
milium-effusum,Milium effusum,Wood millet,Milium,Poaceae
mitchella-repens,Mitchella repens,Squawvine,Mitchella,Rubiaceae
moehringia-trinervia,Moehringia trinervia,Apetalous sandwort,Moehringia,Caryophyllaceae
molinia-caerulea,Molinia caerulea,Purple moor grass,Molinia,Poaceae
momordica-charantia,Momordica charantia,Balsam-apple,Momordica,Cucurbitaceae
monarda-punctata,Monarda punctata,Horse-mint,Monarda,Lamiaceae
morinda-citrifolia,Morinda citrifolia,Indian-mulberry,Morinda,Rubiaceae
morus-alba,Morus alba,Russian mulberry,Morus,Moraceae
murraya-koenigii,Murraya koenigii,Curryleaftree,Murraya,Rutaceae
musa-acuminata,Musa acuminata,Cavendish banana,Musa,Musaceae
myosotis-arvensis,Myosotis arvensis,Common forget-me-not,Myosotis,Boraginaceae
myosotis-laxa,Myosotis laxa,Tufted forget-me-not,Myosotis,Boraginaceae
myosotis-scorpioides,Myosotis scorpioides,Forget-me-not,Myosotis,Boraginaceae
myrica-cerifera,Myrica cerifera,,Myrica,Myricaceae
myrica-gale,Myrica gale,Bog-myrtle,Myrica,Myricaceae
myristica-fragrans,Myristica fragrans,Mace,Myristica,Myristicaceae
myrtus-communis,Myrtus communis,Myrtle,Myrtus,Myrtaceae
nardus-stricta,Nardus stricta,Matgrass,Nardus,Poaceae
nasturtium-officinale,Nasturtium officinale,Watercress,Nasturtium,Brassicaceae
neottia-ovata,Neottia ovata,Common twayblade,Neottia,Orchidaceae
nepeta-cataria,Nepeta cataria,Catmint,Nepeta,Lamiaceae
nicotiana-tabacum,Nicotiana tabacum,Tobacco,Nicotiana,Solanaceae
nigella-sativa,Nigella sativa,Roman-coriander,Nigella,Ranunculaceae
nuphar-lutea,Nuphar lutea,Yellow-water-lily,Nuphar,Nymphaeaceae
nymphaea-alba,Nymphaea alba,White water-lily,Nymphaea,Nymphaeaceae
ocimum-basilicum,Ocimum basilicum,Basil,Ocimum,Lamiaceae
ocimum-tenuiflorum,Ocimum tenuiflorum,Sacred basil,Ocimum,Lamiaceae
oenothera-biennis,Oenothera biennis,German-rampion,Oenothera,Onagraceae
olea-europaea,Olea europaea,Olive,Olea,Oleaceae
ononis-spinosa,Ononis spinosa,Thorny restharrow,Ononis,Fabaceae
operculina-turpethum,Operculina turpethum,Transparent wood-rose,Operculina,Convolvulaceae
ophrys-apifera,Ophrys apifera,Bee orchid,Ophrys,Orchidaceae
opuntia-ficus-indica,Opuntia ficus-indica,Indian-fig,Opuntia,Cactaceae
orchis-mascula,Orchis mascula,Early purple orchid,Orchis,Orchidaceae
orchis-purpurea,Orchis purpurea,Lady orchid,Orchis,Orchidaceae
origanum-majorana,Origanum majorana,Pot marjoram,Origanum,Lamiaceae
origanum-vulgare,Origanum vulgare,Wild marjoram,Origanum,Lamiaceae
oryza-sativa,Oryza sativa,Lowland rice,Oryza,Poaceae
oxalis-acetosella,Oxalis acetosella,Irish shamrock,Oxalis,Oxalidaceae
paeonia-lactiflora,Paeonia lactiflora,Common garden peony,Paeonia,Paeoniaceae
paeonia-officinalis,Paeonia officinalis,Common peony,Paeonia,Paeoniaceae
panax-ginseng,Panax ginseng,Asian ginseng,Panax,Araliaceae
panax-notoginseng,Panax notoginseng,,Panax,Araliaceae
papaver-rhoeas,Papaver rhoeas,Shirley poppy,Papaver,Papaveraceae
papaver-somniferum,Papaver somniferum,Oilseed poppy,Papaver,Papaveraceae
parietaria-officinalis,Parietaria officinalis,Pellitory-of-the-wall,Parietaria,Urticaceae
paris-quadrifolia,Paris quadrifolia,Herb-paris,Paris,Melanthiaceae
parnassia-palustris,Parnassia palustris,Bog star,Parnassia,Celastraceae
passiflora-incarnata,Passiflora incarnata,,Passiflora,Passifloraceae
pastinaca-sativa,Pastinaca sativa,Wild parsnip,Pastinaca,Apiaceae
paullinia-cupana,Paullinia cupana,Guarana,Paullinia,Sapindaceae
peganum-harmala,Peganum harmala,Syrian-rue,Peganum,Nitrariaceae
pelargonium-sidoides,Pelargonium sidoides,,Pelargonium,Geraniaceae
persea-americana,Persea americana,Avocado,Persea,Lauraceae
persicaria-maculosa,Persicaria maculosa,Jesusplant,Persicaria,Polygonaceae
petroselinum-crispum,Petroselinum crispum,Garden parsley,Petroselinum,Apiaceae
peumus-boldus,Peumus boldus,Boldo,Peumus,Monimiaceae
phalaris-arundinacea,Phalaris arundinacea,Gardener's-garters,Phalaris,Poaceae
phaseolus-vulgaris,Phaseolus vulgaris,Bean,Phaseolus,Fabaceae
phellodendron-amurense,Phellodendron amurense,Chinese corktree,Phellodendron,Rutaceae
phleum-pratense,Phleum pratense,Meadow cat's-tail,Phleum,Poaceae
phlomis-lychnitis,Phlomis lychnitis,Lampwickplant,Phlomis,Lamiaceae
phragmites-australis,Phragmites australis,Ditch reed,Phragmites,Poaceae
phyllanthus-amarus,Phyllanthus amarus,Carry me seed,Phyllanthus,Phyllanthaceae
phytolacca-americana,Phytolacca americana,Pigeonberry,Phytolacca,Phytolaccaceae
picea-abies,Picea abies,Common spruce,Picea,Pinaceae
picrasma-excelsa,Picrasma excelsa,Bitter-ash,Picrasma,Simaroubaceae
pilosella-officinarum,Pilosella officinarum,Mouse-ear hawkweed,Pilosella,Asteraceae
pimpinella-anisum,Pimpinella anisum,Anise,Pimpinella,Apiaceae
pimpinella-saxifraga,Pimpinella saxifraga,Burnet-saxifrage,Pimpinella,Apiaceae
pinguicula-vulgaris,Pinguicula vulgaris,Common butterwort,Pinguicula,Lentibulariaceae
pinus-halepensis,Pinus halepensis,Jerusalem pine,Pinus,Pinaceae
pinus-nigra,Pinus nigra,Australian pine,Pinus,Pinaceae
pinus-pinaster,Pinus pinaster,Cluster pine,Pinus,Pinaceae
pinus-pinea,Pinus pinea,Umbrella pine,Pinus,Pinaceae
pinus-sylvestris,Pinus sylvestris,Scotch pine,Pinus,Pinaceae
piper-betle,Piper betle,Betel,Piper,Piperaceae
piper-cubeba,Piper cubeba,,Piper,Piperaceae
piper-methysticum,Piper methysticum,Kava,Piper,Piperaceae
piper-nigrum,Piper nigrum,Pepper,Piper,Piperaceae
pistacia-lentiscus,Pistacia lentiscus,Chios mastictree,Pistacia,Anacardiaceae
plantago-coronopus,Plantago coronopus,Buck's-horn plantain,Plantago,Plantaginaceae
plantago-lanceolata,Plantago lanceolata,Narrow-leaf plantain,Plantago,Plantaginaceae
plantago-major,Plantago major,Common plantain,Plantago,Plantaginaceae
plantago-media,Plantago media,Hoary plantain,Plantago,Plantaginaceae
platanthera-bifolia,Platanthera bifolia,Lesser butterfly-orchid,Platanthera,Orchidaceae
platanus-acerifolia,Platanus acerifolia,London planetree,Platanus,Platanaceae
plumbago-zeylanica,Plumbago zeylanica,Doctorbush,Plumbago,Plumbaginaceae
poa-annua,Poa annua,Annual bluegrass,Poa,Poaceae
poa-nemoralis,Poa nemoralis,Wood bluegrass,Poa,Poaceae
poa-pratensis,Poa pratensis,Smooth meadow grass,Poa,Poaceae
poa-trivialis,Poa trivialis,Rough bluegrass,Poa,Poaceae
podophyllum-peltatum,Podophyllum peltatum,Mayapple,Podophyllum,Berberidaceae
pogostemon-cablin,Pogostemon cablin,Patchouli-plant,Pogostemon,Lamiaceae
polygala-senega,Polygala senega,Seneca snakeroot,Polygala,Polygalaceae
polygala-vulgaris,Polygala vulgaris,Common milkwort,Polygala,Polygalaceae
polygonatum-multiflorum,Polygonatum multiflorum,Solomon's-seal,Polygonatum,Asparagaceae
polygonum-aviculare,Polygonum aviculare,Prostrate knotweed,Polygonum,Polygonaceae
polypodium-vulgare,Polypodium vulgare,Common polypody,Polypodium,Polypodiaceae
pomaderris-elliptica,Pomaderris elliptica,,Pomaderris,Rhamnaceae
populus-nigra,Populus nigra,Lombardy poplar,Populus,Salicaceae
populus-tremula,Populus tremula,European aspen,Populus,Salicaceae
populus-tremuloides,Populus tremuloides,American aspen,Populus,Salicaceae
populus-x-candicans,Populus × candicans,,Populus,Salicaceae
portulaca-oleracea,Portulaca oleracea,Common purslane,Portulaca,Portulacaceae
potamogeton-natans,Potamogeton natans,Floating-leaf pondweed,Potamogeton,Potamogetonaceae
potentilla-anserina,Potentilla anserina,Anserina,Potentilla,Rosaceae
potentilla-erecta,Potentilla erecta,Cinquefoil,Potentilla,Rosaceae
potentilla-reptans,Potentilla reptans,European fivefinger,Potentilla,Rosaceae
potentilla-sterilis,Potentilla sterilis,Strawberryleaf cinquefoil,Potentilla,Rosaceae
primula-veris,Primula veris,Cowslip,Primula,Primulaceae
primula-vulgaris,Primula vulgaris,Primrose,Primula,Primulaceae
prunella-vulgaris,Prunella vulgaris,Heal-all,Prunella,Lamiaceae
prunus-armeniaca,Prunus armeniaca,Siberian apricot,Prunus,Rosaceae
prunus-avium,Prunus avium,Mazzard cherry,Prunus,Rosaceae
prunus-laurocerasus,Prunus laurocerasus,Cherry-laurel,Prunus,Rosaceae
prunus-mume,Prunus mume,Japanese apricot,Prunus,Rosaceae
prunus-padus,Prunus padus,European bird cherry,Prunus,Rosaceae
prunus-serotina,Prunus serotina,Rum cherry,Prunus,Rosaceae
prunus-spinosa,Prunus spinosa,Sloe,Prunus,Rosaceae
pteridium-aquilinum,Pteridium aquilinum,Bracken,Pteridium,Dennstaedtiaceae
pterocarpus-marsupium,Pterocarpus marsupium,,Pterocarpus,Fabaceae
ptychopetalum-olacoides,Ptychopetalum olacoides,,Ptychopetalum,Olacaceae
pulmonaria-officinalis,Pulmonaria officinalis,Jerusalem cowslip,Pulmonaria,Boraginaceae
pulsatilla-chinensis,Pulsatilla chinensis,,Pulsatilla,Ranunculaceae
punica-granatum,Punica granatum,Pomegranate,Punica,Lythraceae
pyrus-calleryana,Pyrus calleryana,Callery pear,Pyrus,Rosaceae
quercus-ilex,Quercus ilex,Evergreen oak,Quercus,Fagaceae
quercus-palustris,Quercus palustris,Pin oak,Quercus,Fagaceae
quercus-petraea,Quercus petraea,Sessile oak,Quercus,Fagaceae
quercus-pubescens,Quercus pubescens,Downy oak,Quercus,Fagaceae
quercus-robur,Quercus robur,Pedunculate oak,Quercus,Fagaceae
quercus-rotundifolia,Quercus rotundifolia,Evergreen oak,Quercus,Fagaceae
quercus-suber,Quercus suber,Cork oak,Quercus,Fagaceae
quillaja-saponaria,Quillaja saponaria,Murillo's-bark,Quillaja,Quillajaceae
rabelera-holostea,Rabelera holostea,Easter-bell,Rabelera,Caryophyllaceae
ranunculus-acris,Ranunculus acris,Meadow buttercup,Ranunculus,Ranunculaceae
ranunculus-bulbosus,Ranunculus bulbosus,Bulbous buttercup,Ranunculus,Ranunculaceae
ranunculus-ficaria,Ranunculus ficaria,,Ranunculus,Ranunculaceae
ranunculus-flammula,Ranunculus flammula,Lesser spearwort,Ranunculus,Ranunculaceae
ranunculus-repens,Ranunculus repens,Creeping buttercup,Ranunculus,Ranunculaceae
ranunculus-sceleratus,Ranunculus sceleratus,Celery buttercup,Ranunculus,Ranunculaceae
raphanus-raphanistrum,Raphanus raphanistrum,Sea radish,Raphanus,Brassicaceae
rauvolfia-serpentina,Rauvolfia serpentina,Ajmaline,Rauvolfia,Apocynaceae
rehmannia-glutinosa,Rehmannia glutinosa,,Rehmannia,Orobanchaceae
reynoutria-japonica,Reynoutria japonica,Japanese knotweed,Reynoutria,Polygonaceae
rhamnus-cathartica,Rhamnus cathartica,European buckthorn,Rhamnus,Rhamnaceae
rheum-palmatum,Rheum palmatum,Chinese rhubarb,Rheum,Polygonaceae
rhinanthus-minor,Rhinanthus minor,Yellow-rattle,Rhinanthus,Orobanchaceae
rhodiola-rosea,Rhodiola rosea,,Rhodiola,Crassulaceae
rhus-glabra,Rhus glabra,Smooth sumac,Rhus,Anacardiaceae
rhytidiadelphus-squarrosus,Rhytidiadelphus squarrosus,,Rhytidiadelphus,Hylocomiaceae
ribes-nigrum,Ribes nigrum,Black currant,Ribes,Grossulariaceae
ribes-rubrum,Ribes rubrum,Garden currant,Ribes,Grossulariaceae
ribes-uva-crispa,Ribes uva-crispa,European gooseberry,Ribes,Grossulariaceae
ricinus-communis,Ricinus communis,Palma-christi,Ricinus,Euphorbiaceae
robinia-pseudoacacia,Robinia pseudoacacia,False acacia,Robinia,Fabaceae
rorippa-palustris,Rorippa palustris,Marsh cress,Rorippa,Brassicaceae
rosa-arvensis,Rosa arvensis,Field rose,Rosa,Rosaceae
rosa-canina,Rosa canina,Common-briar,Rosa,Rosaceae
rosa-gallica,Rosa gallica,Hungarian rose,Rosa,Rosaceae
rosmarinus-officinalis,Rosmarinus officinalis,Rosemary,Rosmarinus,Lamiaceae
rubia-peregrina,Rubia peregrina,Wild madder,Rubia,Rubiaceae
rubia-tinctorum,Rubia tinctorum,Dyer's madder,Rubia,Rubiaceae
rubus-caesius,Rubus caesius,European dewberry,Rubus,Rosaceae
rubus-fruticosus,Rubus fruticosus,,Rubus,Rosaceae
rubus-idaeus,Rubus idaeus,Raspberry,Rubus,Rosaceae
rubus-saxatilis,Rubus saxatilis,Stone bramble,Rubus,Rosaceae
rumex-acetosa,Rumex acetosa,Garden sorrel,Rumex,Polygonaceae
rumex-acetosella,Rumex acetosella,Field sorrel,Rumex,Polygonaceae
rumex-crispus,Rumex crispus,Curled dock,Rumex,Polygonaceae
rumex-obtusifolius,Rumex obtusifolius,Bitter dock,Rumex,Polygonaceae
rumex-sanguineus,Rumex sanguineus,Redvein dock,Rumex,Polygonaceae
ruscus-aculeatus,Ruscus aculeatus,Box-holly,Ruscus,Asparagaceae
ruta-graveolens,Ruta graveolens,Rue,Ruta,Rutaceae
sagina-procumbens,Sagina procumbens,Bird-eye pearlwort,Sagina,Caryophyllaceae
salix-alba,Salix alba,White willow,Salix,Salicaceae
salvia-miltiorrhiza,Salvia miltiorrhiza,,Salvia,Lamiaceae
salvia-officinalis,Salvia officinalis,Sage,Salvia,Lamiaceae
salvia-pratensis,Salvia pratensis,Meadow clary,Salvia,Lamiaceae
salvia-rosmarinus,Salvia rosmarinus,,Salvia,Lamiaceae
salvia-sclarea,Salvia sclarea,Clary,Salvia,Lamiaceae
sambucus-nigra,Sambucus nigra,Elder,Sambucus,Viburnaceae
sambucus-racemosa,Sambucus racemosa,Red-berry elder,Sambucus,Viburnaceae
sanguinaria-canadensis,Sanguinaria canadensis,Red puccoon,Sanguinaria,Papaveraceae
sanguisorba-minor,Sanguisorba minor,Garden burnet,Sanguisorba,Rosaceae
sanguisorba-officinalis,Sanguisorba officinalis,Burnet bloodwort,Sanguisorba,Rosaceae
sanicula-europaea,Sanicula europaea,European sanicle,Sanicula,Apiaceae
santalum-album,Santalum album,East indian sandalwood,Santalum,Santalaceae
saponaria-officinalis,Saponaria officinalis,Bouncing-bet,Saponaria,Caryophyllaceae
satureja-montana,Satureja montana,Savory,Satureja,Lamiaceae
